fecha	lat	lon	depth	mw	mb	ms	strike	dip	slip
09/04/1976	0.79	-79.89	19.4	6.6	6.1	6.7	32	22	136
12/12/1979	2.32	-78.81	19.7	8.1	6.4	7.7	30	16	118
03/09/1980	2.63	-78.53	37.4	6.1	5.7	5.8	1	20	85
06/05/1981	-1.99	-80.97	17.4	6.4	6	6.4	339	17	81
22/11/1983	0.31	-79.99	35.2	6.7	6.3	6.2	33	24	133
06/03/1987	0.1	-77.77	15	6.4	6.1	6.1	198	20	118
06/03/1987	-0.06	-77.84	15	7.1	6.5	6.9	195	27	98
22/09/1987	-0.89	-78.24	15	6.3	6.1	6.2	218	42	147
25/06/1989	0.81	-79.92	16	6.3	5.8	6	27	25	120
02/09/1990	-0.15	-80.58	21.2	6.2	5.8	6.1	22	27	115
19/11/1991	4.8	-77.18	19.1	7.2	6.5	7	13	13	95
08/02/1995	4.09	-76.36	68.2	6.3	6.3	0	210	21	-90
27/04/1996	2.47	-79.42	15	6.1	4.8	5.9	44	15	110
04/08/1998	-0.57	-80.48	25.6	7.1	6.2	7.1	27	15	124
28/09/2000	-0.32	-80.74	15	6.4	5.8	6	34	15	133
15/11/2004	4.72	-77.57	16	7.2	6.6	7.1	21	11	114
21/01/2005	-1.23	-81.05	12	6	5.9	5.9	3	18	96
24/01/2005	-1.53	-80.95	16	6.1	5.5	5.7	6	15	100
28/01/2005	-1.22	-81.39	12	6	5.2	5.6	11	20	98
17/03/2007	4.61	-78.53	13.1	6	6	6	55	37	-67
18/03/2007	4.69	-78.53	12	6.2	6.4	6.2	38	36	-69
10/09/2007	3.08	-78.12	18.9	6.7	6.1	6.8	54	23	-95
17/11/2011	-1.88	-81.75	15.5	6	5.7	6	87	81	1
