2.31583 76  
2.31567 -76.3977 0.21 
2.31717 -76.3962 0.23 
2.31533 -76.397 0.53 
2.3155 -76.3978 0.83 
2.31617 -76.3985 0.80 
2.31533 -76.3987 0.89 
2.3165 -76.397 0.92 
2.31667 -76.3973 0.24 
2.31633 -76.3973 0.83 
2.31583 -76.3985 0.54 
2.31567 -76.3965 0.44 
2.31667 -76.3972 0.80 
2.31567 -76.3995 0.53 
2.31617 -76.3962 0.81 
2.316 -76.3972 0.64 
2.31617 -76.3997 0.62 
2.3165 -76.3968 0.73 
2.31567 -76.3995 0.49 
2.31533 -76.3962 0.52 
2.316 -76.3967 0.53 
2.31617 -76.3992 0.52 
2.31567 -76.3978 0.34 
2.31617 -76.3983 0.59 
2.317 -76.3965 0.44 
2.31733 -76.3998 0.33 
2.31567 -76.399 0.50 
2.31533 -76.3982 0.56 
2.3155 -76.3978 0.29 
2.31533 -76.3967 0.27 
2.31617 -76.3995 0.70 
2.31533 -76.3977 0.38 
2.31683 -76.399 0.26 
2.31483 -76.3973 0.55 
2.31617 -76.398 0.35 
2.31533 -76.398 0.42 
2.31567 -76.3988 0.69 
2.31483 -76.396 0.43 
2.31717 -76.3982 0.34 
2.31533 -76.398 0.72 
2.31667 -76.3982 0.69 
2.31583 -76.3992 0.65 
2.31533 -76.3975 0.50 
2.3155 -76.3965 0.39 
2.31533 -76.3978 0.47 
2.31467 -76.3978 0.54 
2.31483 -76.3975 0.30 
2.31617 -76.3972 0.51 
2.31533 -76.3963 0.75 
2.31533 -76.3983 0.86 
2.31533 -76.3975 0.51 
2.31533 -76.3968 0.62 
2.31633 -76.3985 0.65 
2.31533 -76.3985 0.36 
2.31667 -76.3998 0.77 
2.31583 -76.3988 0.89 
2.31533 -76.3997 0.60 
2.31583 -76.3977 0.64 
2.31533 -76.4 0.86 
2.31633 -76.3983 0.61 
2.31683 -76.3958 0.65 
2.315 -76.3958 0.77 
2.31417 -76.4002 0.88 
2.31633 -76.4002 0.86 
2.31633 -76.3973 0.59 
2.31533 -76.3978 0.85 
2.31533 -76.3987 0.94 
2.317 -76.3988 0.49 
2.31617 -76.3987 0.51 
2.318 -76.3983 0.58 
2.31533 -76.3992 0.98 
2.31683 -76.3965 0.60 
2.31583 -76.3982 0.57 
2.3145 -76.3983 0.85 
2.31533 -76.398 0.72 
2.31467 -76.3968 0.70 
2.31533 -76.3982 0.51 
2.316 -76.3985 0.47 
2.316 -76.3977 0.64 
2.315 -76.3992 0.72 
2.317 -76.3967 0.42 
2.31633 -76.3992 0.40 
2.31683 -76.3962 0.32 
2.31617 -76.3972 0.30 
2.31433 -76.3982 0.50 
2.31533 -76.3977 0.55 
2.31583 -76.3995 0.42 
2.31533 -76.3977 0.56 
2.31433 -76.398 0.73 
2.31533 -76.4017 0.83 
2.31617 -76.3977 0.48 
2.3165 -76.3968 0.43 
2.31617 -76.3982 0.43 
2.31617 -76.3978 0.40 
2.31567 -76.3978 0.38 
2.317 -76.3965 0.82 
2.31517 -76.4005 0.52 
2.31667 -76.3965 0.72 
2.31533 -76.3978 0.71 
2.3155 -76.4023 0.74 
2.315 -76.3953 0.79 
2.31533 -76.402 0.76 
2.31533 -76.3972 0.67 
2.31533 -76.397 0.89 
2.31617 -76.3998 0.79 
2.31533 -76.3972 0.77 
2.31533 -76.3975 0.53 
2.316 -76.4 0.63 
2.31583 -76.3997 0.71 
2.317 -76.3997 0.52 
2.31533 -76.398 0.57 
2.31533 -76.3957 0.96 
2.31533 -76.3977 0.77 
2.31583 -76.3965 0.68 
2.31533 -76.397 0.64 
2.31583 -76.3963 0.74 
2.31633 -76.3982 0.53 
2.31533 -76.401 0.57 
2.31533 -76.3972 0.69 
2.3155 -76.4012 0.53 
2.31533 -76.397 0.47 
2.31733 -76.3968 0.49 
2.31533 -76.3967 0.93 
2.31517 -76.397 0.57 
2.31533 -76.3978 0.46 
2.31433 -76.3973 0.91 
2.31433 -76.3975 0.72 
2.31667 -76.3978 0.83 
2.31633 -76.3978 0.62 
2.31717 -76.3967 0.60 
2.3165 -76.397 0.63 
2.31633 -76.4005 0.57 
2.3165 -76.3967 0.90 
2.31617 -76.398 0.63 
2.31617 -76.3992 0.34 
2.31683 -76.3988 0.33 
2.31633 -76.3968 0.43 
2.31683 -76.3975 0.58 
2.31533 -76.3975 0.57 
2.3165 -76.3965 0.79 
2.31783 -76.3993 0.70 
2.317 -76.3992 0.39 
2.316 -76.3995 0.60 
2.3175 -76.399 0.52 
2.31517 -76.3983 0.84 
2.3165 -76.3987 0.26 
2.31567 -76.3978 0.51 
2.31717 -76.3998 0.11 
2.31433 -76.3988 1.14 
2.31767 -76.3978 0.89 
2.31533 -76.3965 0.61 
2.31567 -76.4022 0.69 
2.31533 -76.3968 1.90 
2.31533 -76.3982 0.90 
2.31533 -76.403 0.93 
2.31833 -76.3997 0.23 
